operating_point,material,prop,group,metric,baseline_value,baseline_metric,elasticity,delta_metric,resolved,provenance
design,water,conductivity,fluid,efficiency_percent,5.5e-06,99.93333333333334,0.0,0.0,False,"ASSUMPTION: Ultrapure water at 25 °C, ~0.055 uS/cm; varies by orders of magnitude with dissolved CO2. Only used as an inert reference medium."
design,water,conductivity,fluid,purity_percent,5.5e-06,94.7060837511172,0.0,0.0,False,"ASSUMPTION: Ultrapure water at 25 °C, ~0.055 uS/cm; varies by orders of magnitude with dissolved CO2. Only used as an inert reference medium."
design,mcf7,radius_cv,cell,efficiency_percent,0.12,99.93333333333334,-0.006671114076050606,-0.06666666666666572,False,ASSUMPTION: Coefficient of variation of the radius distribution. Flow-cytometry forward-scatter histograms of cultured lines typically give CV(diameter) = 10-20 %; 10 % is used unless a line-specific value is cited.
design,mcf7,radius_cv,cell,purity_percent,0.12,94.7060837511172,-0.0004494836451501118,-0.004256883574234394,False,ASSUMPTION: Coefficient of variation of the radius distribution. Flow-cytometry forward-scatter histograms of cultured lines typically give CV(diameter) = 10-20 %; 10 % is used unless a line-specific value is cited.
design,mcf7,density,cell,efficiency_percent,1068.0,99.93333333333334,0.006671114076050606,0.06666666666666572,False,ASSUMPTION: Carcinoma lines in suspension cluster around 1.05-1.08 g/mL; 1.068 g/mL used. Cell-line specific density should be measured (e.g. by density-gradient banding) for quantitative separation design.
design,mcf7,density,cell,purity_percent,1068.0,94.7060837511172,0.0004494836451501118,0.004256883574234394,False,ASSUMPTION: Carcinoma lines in suspension cluster around 1.05-1.08 g/mL; 1.068 g/mL used. Cell-line specific density should be measured (e.g. by density-gradient banding) for quantitative separation design.
design,mcf7,cytoplasm_conductivity,cell,efficiency_percent,0.62,99.93333333333334,0.0,0.0,False,ASSUMPTION: Within the 0.3-1.0 S/m range reported for tumour-cell cytoplasm.
design,mcf7,cytoplasm_conductivity,cell,purity_percent,0.62,94.7060837511172,0.0,0.0,False,ASSUMPTION: Within the 0.3-1.0 S/m range reported for tumour-cell cytoplasm.
design,linbo3_128yx,speed_of_sound,substrate,efficiency_percent,6570.0,99.93333333333334,0.0,0.0,False,"ASSUMPTION: Bulk longitudinal velocity along X; only used for impedance bookkeeping, not for the SAW itself."
design,linbo3_128yx,speed_of_sound,substrate,purity_percent,6570.0,94.7060837511172,0.0,0.0,False,"ASSUMPTION: Bulk longitudinal velocity along X; only used for impedance bookkeeping, not for the SAW itself."
design,pdms,density,substrate,efficiency_percent,1030.0,99.93333333333334,0.0,0.0,False,ASSUMPTION: Vendor data sheets give 1.03 g/mL for cured Sylgard 184 10:1.
design,pdms,density,substrate,purity_percent,1030.0,94.7060837511172,0.0,0.0,False,ASSUMPTION: Vendor data sheets give 1.03 g/mL for cured Sylgard 184 10:1.
design,pdms,speed_of_sound,substrate,efficiency_percent,1076.0,99.93333333333334,0.0,0.0,False,"ASSUMPTION: Reported longitudinal velocities span 1000-1100 m/s and depend strongly on curing ratio and temperature. PDMS is nearly acoustically matched to water and highly lossy, which is why it is a poor resonator wall."
design,pdms,speed_of_sound,substrate,purity_percent,1076.0,94.7060837511172,0.0,0.0,False,"ASSUMPTION: Reported longitudinal velocities span 1000-1100 m/s and depend strongly on curing ratio and temperature. PDMS is nearly acoustically matched to water and highly lossy, which is why it is a poor resonator wall."
marginal,water,conductivity,fluid,efficiency_percent,5.5e-06,78.8,0.0,0.0,False,"ASSUMPTION: Ultrapure water at 25 °C, ~0.055 uS/cm; varies by orders of magnitude with dissolved CO2. Only used as an inert reference medium."
marginal,water,conductivity,fluid,purity_percent,5.5e-06,99.91189427312774,0.0,0.0,False,"ASSUMPTION: Ultrapure water at 25 °C, ~0.055 uS/cm; varies by orders of magnitude with dissolved CO2. Only used as an inert reference medium."
marginal,mcf7,radius_cv,cell,efficiency_percent,0.12,78.8,-0.16074450084602393,-1.2666666666666686,True,ASSUMPTION: Coefficient of variation of the radius distribution. Flow-cytometry forward-scatter histograms of cultured lines typically give CV(diameter) = 10-20 %; 10 % is used unless a line-specific value is cited.
marginal,mcf7,radius_cv,cell,purity_percent,0.12,99.91189427312774,-7.701608866117388e-05,-0.0007694823307645038,False,ASSUMPTION: Coefficient of variation of the radius distribution. Flow-cytometry forward-scatter histograms of cultured lines typically give CV(diameter) = 10-20 %; 10 % is used unless a line-specific value is cited.
marginal,mcf7,density,cell,efficiency_percent,1068.0,78.8,0.939086294416244,7.400000000000003,True,ASSUMPTION: Carcinoma lines in suspension cluster around 1.05-1.08 g/mL; 1.068 g/mL used. Cell-line specific density should be measured (e.g. by density-gradient banding) for quantitative separation design.
marginal,mcf7,density,cell,purity_percent,1068.0,99.91189427312774,0.0007003527062616682,0.006997356554191469,False,ASSUMPTION: Carcinoma lines in suspension cluster around 1.05-1.08 g/mL; 1.068 g/mL used. Cell-line specific density should be measured (e.g. by density-gradient banding) for quantitative separation design.
marginal,mcf7,cytoplasm_conductivity,cell,efficiency_percent,0.62,78.8,0.0,0.0,False,ASSUMPTION: Within the 0.3-1.0 S/m range reported for tumour-cell cytoplasm.
marginal,mcf7,cytoplasm_conductivity,cell,purity_percent,0.62,99.91189427312774,0.0,0.0,False,ASSUMPTION: Within the 0.3-1.0 S/m range reported for tumour-cell cytoplasm.
marginal,linbo3_128yx,speed_of_sound,substrate,efficiency_percent,6570.0,78.8,0.0,0.0,False,"ASSUMPTION: Bulk longitudinal velocity along X; only used for impedance bookkeeping, not for the SAW itself."
marginal,linbo3_128yx,speed_of_sound,substrate,purity_percent,6570.0,99.91189427312774,0.0,0.0,False,"ASSUMPTION: Bulk longitudinal velocity along X; only used for impedance bookkeeping, not for the SAW itself."
marginal,pdms,density,substrate,efficiency_percent,1030.0,78.8,0.0,0.0,False,ASSUMPTION: Vendor data sheets give 1.03 g/mL for cured Sylgard 184 10:1.
marginal,pdms,density,substrate,purity_percent,1030.0,99.91189427312774,0.0,0.0,False,ASSUMPTION: Vendor data sheets give 1.03 g/mL for cured Sylgard 184 10:1.
marginal,pdms,speed_of_sound,substrate,efficiency_percent,1076.0,78.8,0.0,0.0,False,"ASSUMPTION: Reported longitudinal velocities span 1000-1100 m/s and depend strongly on curing ratio and temperature. PDMS is nearly acoustically matched to water and highly lossy, which is why it is a poor resonator wall."
marginal,pdms,speed_of_sound,substrate,purity_percent,1076.0,99.91189427312774,0.0,0.0,False,"ASSUMPTION: Reported longitudinal velocities span 1000-1100 m/s and depend strongly on curing ratio and temperature. PDMS is nearly acoustically matched to water and highly lossy, which is why it is a poor resonator wall."
